,Exhibitor,Address,City,Zip,Tel,Country,email,About,Key Words,Logo,WebSite,Hall,Stand
523,GDS Lighting S.r.l.,Via Tezze 20/A,"Cornedo Vicentino, Vicenza",36073,+39 0445428934,Italy,info@gdslighting.com,"GDS Lighting is an Italian company that designs and produces advanced, sustainable and connected LED lighting solutions.GDS...","['Street Lighting', 'Industrial', 'Street Lamps', 'Hi Bay', 'Projector']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0050957772/1653300115743_GDSlogo_2D_color_300dpi.png,www.gdslighting.com,4.0,B41
524,GEBA GmbH,Wecostraße 7-11,Eitorf,53783,+49 224388040,Germany,mailbox@geba.net,	geba® since 50 years – your partner for doors and gates.	Since the invention of the safety key switch with profi le half...,"['Signalleuchten', 'Schl&uuml;sselschalter', 'signal lamps', 'keyswitch', 'geba']",,www.geba.net,9.0,B80
525,Gecem Aydinlatma San. ve Tic. A.S.,Aksemsettin Mah. Akgul Cad.,"Sultanbeyli, Istanbul",34925,+90 2164873506,Türkiye,info@gecemlighting.com,"	Gecem Lighting creates new generation individual lighting solutions, since 1997 and offers economic, ergonomic and environment...","['Wall Lighting', 'Outdoor Lighting', 'Industrial Lighting', 'Indoor Lighting', 'Hospital']",,www.gecemlighting.com,3.0,D71
526,Gerpa Elektrik Tekstil San. ve Tic. A.S.,"Helis Beyaz Ofis Sitesi A Blok, No: 2-1-2",Istanbul,34893,,Türkiye,,"GERPAAS, the registered brand name of Gerpa Elektrik AS, has been a leading manufacturer of electrical and mechanical product...","['gerpaas', 'cable tray', 'earthing', 'pole', 'kabel']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0052398899/RGB_JPG_Gerpaas.jpg,,12.0,D64
527,Gesan Aydinlatma ve Elektronik San. Tic. Ltd. Sti.,Sitesi No: 1G Yesiloba Mah. 46305 Sok. EFER-3 Sanayi,Seyhan/Adana,,,Türkiye,,,[],,,4.0,C90
528,Get Kft.,Béke utca 4.,Fonyód,8640,+36 309583831,Hungary,molnar.beata@getgroup.co.hu,Introduction of GET Ltd. GET Ltd. was founded in 2004 by Hungarian private individuals with decades of experience in lighting...,"['Custom demand manufacturing', 'HCL', 'Profile lighting', 'Sport lighting', 'Design lighting']",,www.getgroup.co.hu,4.1,A07
529,GEYER Hellas S.A.,"Drossia, P.O. Box 19038",Halkida,34100,+30 2221098711,Greece,cs@geyer.gr,"GEYER Hellas Group was established in Greece 40 years ago, as a subsidiary for the German parent company GEYER AG. Geyer...","['LED panels', 'Street Light', 'LED strips', 'Industrial lighting', 'Sports Arena lighting']",,www.geyer.gr,8.0,A71
530,GEZE GmbH,Reinhold-Vöster-Str. 21 - 29,Leonberg,71229,+49 71522030,Germany,info.de@geze.com,"Since 1863, GEZE has been operating as a successful, global family business offering products, system solutions and services...","['RWS', 'KNX', 'BACnet', 'Building-Automation', 'RWA']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0010435020/RGB_JPG_GEZE.jpg,www.geze.com,8.0,D94
531,GFOS Gesellschaft f&uuml;r Organisationsberatung und Softwareentwicklung mbH,Am Lichtbogen 9,Essen,45141,+49 201613000,Germany,info@gfos.com,"GFOS stands for innovative software solutions and cloud services in the areas of Security, Workforce Management and Manufacturing...","['Zutrittskontrolle', 'Besuchermanagement', 'Security Software', 'Workforce Management', 'Security Dashboard']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0011048008/RGB_JPG_GFOS.jpg,www.gfos.com,8.0,D80
532,GGK GmbH &amp; Co. KG,Gerhard-Grün-Str. 1,Greifenstein,35753,+49 27799150,Germany,verkauf@ggk-online.com,"Professional cable management is not a static state. Rather, it concerns dealing with current demands while keeping an eye...","['Br&uuml;stungskanal', 'Verdrahtungskanal', 'Sockelleistenkanal', 'Leitungsf&uuml;hrungskanal', 'Installationss&auml;ule']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0010379070/RGB_JPG_GGK.jpg,www.ggk-online.com,12.1,D80
533,Ghidini Giovanni Battista S.r.l.,Via S.Filippo Neri 154/A,Lumezzane,25065,+39 0308971379,Italy,info@ghidini1849.com,"Ghidini Giovanni Battista, also known as Ghidini 1849, is a historic Italian lighting manufacturer that has been creating...","['italian lighting', 'lighting manufacturer', 'brass lighting', 'rustic lamps', 'vintage lamps']",,https://ghidini1849.com/,6.0,C28
534,COBOFRA SrL GIADA SYSTEM,via Enrico Fermi 10,Legnaro PD,35020,+39 049790876,Italy,cobofra@cobofra.com,"Giada System is manufacter of domotic wireless lightin systems . Giada System wifi technology allows you to program, control...","['cabling', 'electronic solutions', 'domotic lighting', 'wireless', 'alexa']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0051637355/1663155024988_logo-20giada-20.JPG,www.giada-system.com,8.0,H19
535,GIFAS ELECTRIC GmbH,Borsigstr. 9,Neuss,41469,+49 2137105251,Germany,verkauf@gifas.de,GIFAS ELECTRIC is one of the leading manufacturers for power distribution and lighting systems for the most demanding thermal...,"['Strahler', 'Elektromobilit&auml;t', 'Hallenbeleuchtung', 'Stra&szlig;enbeleuchtung', 'Verteilersysteme']",,www.gifas.de,12.0,B60
536,GigaTera Lighting Inc.,3 Dongtansandan 6-gil,Hwaseong,18487,+82 7049425399,"Korea, the Republic of (South)",mayapop@gigateraled.com,"WHO WE AREGigaTera, the world leader in LED sports lighting industryGigaTera is a world-class Total Lighting Solution provider...","['led', 'sports led', 'lighting', 'korea', 'highmast']",,,4.1,H60A
537,Gimax S.r.l.,Via dell´Arabescato,Pietrasanta,55045,+39 058481742,Italy,cei@gimaxsrl.it,We are italian manufacturer of rubber enclosures for power distribution and LED lamps for temporary lighting for fixed and...,"['Rubber enclosures', 'Bespoke solutions', 'Powerbox', 'Polyethylene enclosures', 'Temporary lighting']",,www.gimaxsrl.it,12.0,C40
538,GI PLAST S.r.l.,Via Buonarroti snc,Lonate Ceppino,21050,+39 0331840937,Italy,info@giplast.com,"From plastic to lighting, we combine functionality with esthetic. Since more than 30 years, we are talking plastics, extrusion...","['Polycarbonate', 'Diffuser', 'Lighting Profile', 'Linear Optics', 'Plastic Profiles']",,www.giplast.com,8.0,B28
539,Gira Giersiepen GmbH &amp; Co. KG,Dahlienstr. 12,Radevormwald,42477,+49 21956020,Germany,info@gira.de,Radevormwald-based company Gira Giersiepen GmbH & Co. KG (www.partner.gira.com) is one of the leading full-range suppliers...,"['hausautomation', 't&uuml;rsprechanlagen', 'intelligente geb&auml;udetechnik', 'knx system', 'elektroinstallation']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0010095080/RGB_JPG_GIRA.jpg,https://partner.gira.de/,11.1,B16
540,"Shenzhen Gleamia Lighting Co., Ltd.","Block 14C, Zhonghaixin Tech-Park, No. 12 Bulan Road, Buji Town, Longgang District",Shenzhen,518112,+86 75589507456,China,mark@gleamia.net,"Gleamia Lighting, over 12 Years' Expertise in Manufacturing LED Panel Light and focus on European Market with complete certifications...","['LED Panel Light', 'LED Panel ', 'LED Flat Panel', 'Panel Light', 'Panel Lamp']",,www.gleamia.net,8.0,N78
541,Global Fairs TT-Messe Nintemann e.K.,Bohmter Str. 40,Osnabrück,49074,+49 541971260,Germany,info@tt-messe.eu,	MINIMAL EFFORT. NO TRADE FAIR RISK.	HIGHLY TARGET-SPECIFIC MARKET PLACE CHARACTER.	HIGH BUSINESS EFFICIENCY.	Get a double...,"['Smart Home', 'Smart Building', 'Global Fairs', 'Center of SmartBuilding']",,www.tt-messe.eu,9.0,E54
542,Globen Lighting AB,Sagvägen 10,Svenljunga,512 50,+46 325618080,Sweden,info@globenlighting.se,"Globen Lighting design, manufacture and sell interior lighting for both the private market and contracts. Our head office...","['Contract Projects', 'Lamps', 'Scandinavian Design', 'Globen Lighting', 'Projects']",,www.globenlighting.com,3.1,D38
543,GL Optic,Tobelwasenweg 24,Weilheim an der Teck,73235,+49 7023950430,Germany,info@just.de,"Today GL Optic’s headquarters in Poland designs, develops, manufactures and supports a broad range of light measurement instruments...","['UV Measurement', 'Spectrometer', 'GL Optic', 'Road Lighting Measurement', 'Light measurement']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0010329770/RGB_JPG_GL_OTIC.jpg,www.gloptic.com,8.0,H69
544,GLP German Light Products GmbH,Industriestraße 2,Karlsbad,76307,+49 7248927190,Germany,info@glp.de,GLP German Light Products GmbH is a manufacturer of innovative and high-quality intelligent spotlights for the professional...,"['Arbeitsleuchten', 'Hallenbeleuchtung', 'Stadionbeleuchtung', 'Industriebeleichtung', 'Architekturbeleuchtung']",,www.glp.de,4.1,J17
545,GMR Enlights Srl,Via Provinciale Specchia Alessano 68,Specchia,73040,+39 0543462626,Italy,sales@gmrenlights.com,"GMR Enlights is an Italian factory who creates, produces and commercializes street light fixtures and urban design products...","['Street lights', 'Outdoor design lights', 'Floodlights', 'Artistic light fixtures', 'Smart lighting']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0015031608/RGB_JPG_GMR.jpg,www.gmrenlights.com,4.0,A21
546,Goccia Illuminazione S.r.l.,Via Enrico Fermi 59-65,Poncarale (BS),25020,+39 0302640761,Italy,info@goccia.it,THE COMPANY For over 40 years Goccia Illuminazione has been producing unique products for outdoor lighting for Italy and...,"['outdoor', 'technical', 'architectural', 'urban', 'garden']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0011012354/1639740439694_Goccia_Illuminazione_LOGO.png,www.goccia.it,3.0,C41
547,Friedrich G&ouml;hringer Elektrotechnik GmbH,Gerwigstr. 8,Triberg im Schwarzwald,78098,+49 772296360,Germany,info@ftg-germany.de,"	FTG is an important employer in the southern Black Forest region, part of a worldwide group, an important partner for its...","['Anschlussklemmen', 'Sammelschienen', 'FTG', 'Stromschienen', 'Amphenol']",,www.ftg-germany.de,12.0,D09
548,Golden Peakock Overseas Ltd.,"20-A, Noida Special Economic Zone",Noida,201305,+91 1204720201,India,mktg@goldenpeakock.com,"Golden Peakock Overseas Ltd. is one of India’s leading manufacturers of Lamp Holders, Decorative Lighting Parts, Brass Electrical...","['Lamp holders', 'Electrical/Power supply components', 'Cable Grippers', 'Wire Rope Suspension Systems', 'Brass Lighting components']",,www.goldenpeakock.com,8.0,C04
549,"Shenzhen Goodflys Technology Co., Ltd","Room 503-505,5th/F, Block C, Huafeng Innovation Park Gushu 2nd Road, Bao'an District",Shenzhen,518000,+86 75527889783,China,jerome@goodflys.com,,[],,http://goodflys.com,9.0,E54
550,GOSSEN Foto- und Lichtmesstechnik GmbH,Lina-Ammon-Str. 22,Nürnberg,90471,+49 9118006210,Germany,info@gossen-photo.de,	The GOSSEN Foto- und Lichtmesstechnik GmbH is specialized in the measurement of light and has decades of experience in its...,"['Kalibrierung', 'Leuchtdichte', 'Luxmeter', 'Spektrometer', 'Beleuchtungsst&auml;rke', 'Farbtemperatur', 'Farbwiedergabe', 'Flicker', 'PPFD', 'DAkkS', 'TLCI', 'UV-A', 'Pflanzenbeleuchtung']",https://exhibitorsearch.messefrankfurt.com/images/medium/mics/migration_feria/07239035.jpg,www.gossen-photo.de,8.0,H50
551,Gossen Metrawatt GmbH,Südwestpark 15,Nürnberg,90449,+49 911860200,Germany,info@gossenmetrawatt.com,"As one of the world's leading suppliers of measuring technology systems, Gossen Metrawatt GmbH develops and distributes a...","['Pr&uuml;fger&auml;t', 'Messger&auml;t', 'Elektromobilit&auml;t', 'Energiemanagement', 'Installationstester']",https://exhibitorsearch.messefrankfurt.com/images/medium/mics/migration_feria/20008811.jpg,www.gossenmetrawatt.com,9.1,C16
552,Gr&auml;sslin Zeitschalttechnik GmbH,Leopoldstr. 1,St. Georgen im Schwarzwald,78112,+49 77249330,Germany,info@graesslin.de,Reliable technology meets maximum user convenienceGrässlin develops and manufactures groundbreaking products of premium quality...,"['Zeitschaltuhren', 'Bewegungsmelder', 'Betriebsstundenz&auml;hler', 'Treppenlicht-Zeitschalter', 'D&auml;mmerungsschalter']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0052384206/1662463024990_Graesslin-Logo_2500px.jpg,www.graesslin.de,12.0,B76
553,Graphisoft Building Systems GmbH,Lüdinghauser Straße 3,Ascheberg,59387,+49 259382490,Germany,info@dds-cad.com,"Since January 2022, the DDScad producer (formerly Data Design System) is a part of Graphisoft. Graphisoft empowers teams...","['BIM', 'Elektroplanung', 'Software', 'CAD', 'Elektro Zeichenprogramm']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0011044584/RGB_JPG_Graphisoft.jpg,www.dds-cad.com,12.1,C41
554,Graypants,Meeuwenlaan 126B,Amsterdam,1021 JN,+31 208208990,Netherlands,amsterdam@graypants.com,"Graypants has always thought of nature as an influential asset to design, a value especially important today. Our lighting...","['cardboard lights', 'sustainable lights', 'decorative lighting', 'project lighting', 'contract lighting']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0015014762/RGB_JPG_Graypants.jpg,www.graypants.com,3.1,C20
555,GRE Alpha Electronics Ltd.,"Unit 501, 5/F, 16 Science Park West Avenue, Phase 3, Hong Kong Science Park",Shatin,,+852 24233332,Hong Kong,info@grealpha.com,"GRE Alpha® Electronics, Ltd. specializes in the design and manufacture of solid-state lighting power supplies and lighting...","['LED Dimming Modules', 'LED power conversion products', 'AC Line Voltage Dimmable LED Drivers', 'LED drivers', 'Accessories']",,https://grealpha.com/,9.0,D10
556,"Great Star Technology Co., Ltd.","No. 1022-511, JinCheng Road, ShaJing Sub-District, BaoAn District",Shenzhen,518104,+86 13423207958,China,marketing@greatstartech.com,"Great Star Technology was established in 2006, being always attention to offering the printed circuit boards (PCB) at top...","['IMS board', 'CEM-3', 'connector', 'CEM-1', 'FR4']",,www.greatstartech.com,8.0,N40
557,Greenlux Lighting Solutions Ltd,Mekaanikonkatu 1,Helsinki,00880,+358 103200780,Finland,info@greenlux.fi,,[],,www.greenlux.fi,4.1,A30
558,GREINER Schaltanlagen GmbH,Eisenberger Str. 56a,Kerzenheim,67304,+49 635149070,Germany,info@greiner.eu,"For more than six decades, the name Greiner has stood for pioneering technology in the field of medium and low-voltage switchgear...","['Niederspannungsschaltanlagen / Low volatage switchgear', 'Mittelspannungsschaltanlagen / Medium voltage switchgear', 'Doppelbodensystem / False floor systems', 'Mechanische Komponenten / Mechanical components', 'Geb&auml;udeautomation / Building automation']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0011046340/RGB_JPG_Greiner.jpg,www.greiner.eu,11.0,B35
559,GRITTI,Via Galileo Ferraris 21/23,Spinea,30038,+39 0415411061,Italy,info@grittidesign.com,"Glass, a material intimately linked to the history of our lagoon, is ready to challenge contemporaneity with the experience...","['Marc Sadler', 'Gritti design', 'Sylcom light', 'decorative spotlight LED', 'Glass pendent light']",https://exhibitorsearch.messefrankfurt.com/images/medium/company_pictures/10000016202201/0052377964/RGB_JPG_Gritti.jpg,www.grittidesign.com,3.1,B12
560,GRUP IMAJ AYDINLATMA SAN VE TIC A.S.,Deniz Aktas Cad No: 6 Kavakli,Beylikduzu/Istanbul,34520,+90 2126899308,Türkiye,info@grupimaj.com,"As established in 1996, Grup Imaj is celebrating 25th year in Lighting and Electronics Industry with the manufacturing volume...","['Road and Street Luminaires', 'Floodlights and Area Luminaires', 'Industrial Luminaires', 'Tunnel Luminaires', 'Smart Lighting Systems']",,www.grupimaj.com,4.0,D74
561,"Shenzhen Guanke Technologies Co., Ltd.","Bldg. 33-34, XiaLang Industrial Zone, HeShuiKou Community, MaTian St, GuangMing District Gongming Office",Shenzhen,518106,+86 75527165559,China,info@gkuvc.com,"GK global service manufacturer focused on led solutions over 10 years which located in Shenzhen, China with around 500 employees...","['UVC disinfection device', 'Upper air disinfection system', 'Hybrid LED UVC disinfection light', 'Indirect UVC disinfection for occupied area', 'Led corn lamp for post top wall pack fixture']",,www.gkuvc.com,8.0,M75
562,HongKong Guide Lighting Limited,"Unit 59 of Workshop 12 on 1/F., Hewlett Centre 54, Hoi Yuen Road, Kwun Tong",Kowloon,999077,+86 15988618916,Hong Kong,sales@zjfamilylighting.com,,[],,www.m-lighting.com,8.0,A99
563,"Shenzhen GuoYing Optoelectronics Co., Ltd.","Ai'nan Road No. 191 Nanlian Community, Longgang District",Shenzhen,518116,+86 75527695433,China,sales_02@everstarled.com,"Shenzhen GuoYing Optoelectronics Co.,Ltd.specializes in R&D, production and sales of LED lighting fixtures. We only produce...","['Wall washer LED strip', 'COB', '3D Neon flex', 'Reel to reel', 'High voltage 230VAC']",,www.everstarled.com,8.0,L68
564,"Gv Lightec Co., Ltd.","14, Saneop-ro 104beon-gil, Bucheon-si",Gyeonggi-do,14402,+82 327217175,"Korea, the Republic of (South)",,"We, GV Lightec, are a company established by the members of FAWOO Technology (Dongbu Lightec). We are developing and manufacturing...","['LED Light Panel', 'Lumisheet', 'shop fitting', 'signage', 'architectural lighting']",,,4.1,G63
